layers,branching factor,average error,average error %,max error,max error %,size binary search,size linear search,namespace,binary,inference,pred_time_lin,pred_time_bin,pred_time,star,front
"cubic,linear",512,1173444.625,3.7758760000000002,7551752,3.7758760000000002,69888,65792,nm267eace3e418807f8382,True,23.91669,3000.4236069999997,377.499,377.499,False,False
"bradix,cubic",256,2336881.0,3.8830715000000002,7766143,3.8830715000000002,67776,65728,nm28d7e892588e98f28b28,True,24.30939,3000.8163069999996,377.818108,377.818108,False,False
"cubic,linear",4096,267593.28125,2.5802039999999997,5160408,2.5802039999999997,557312,524544,nm2f6cb73bf7227f2a68cf,True,25.48772,3001.994637,376.28177700000003,376.28177700000003,False,False
"radix,linear",16384,242531.0,0.640173,1280346,0.640173,2228352,2097280,nm30583483c9fabb1d1b35,True,22.29164,2998.7985569999996,336.372971,336.372971,True,True
"bradix,cubic",2097152,3760.1494140625,0.0282295,56459,0.0282295,553648320,536871104,nm309f97453b4addf283cc,True,51.09006,3027.5969769999997,297.66612299999997,297.66612299999997,False,True
"normal,cubic",16384,93834.1953125,0.4382645,876529,0.4382645,4325568,4194496,nm3471a0ec8dd6f98e0b73,True,40.42496,3016.9318769999995,346.74341499999997,346.74341499999997,False,False
"loglinear,cubic",4096,412621.15625,1.255148,2510296,1.255148,1081472,1048704,nm38aa88c9f404fec0c00b,True,34.38024,3010.8871569999997,365.59248800000006,365.59248800000006,False,False
"radix,cubic",2048,1048576.0,3.054265,6108530,3.054265,540800,524416,nm3e50d7f0fef774612713,True,23.14199,2999.648907,374.571748,374.571748,False,False
"radix,cubic",2097152,6655.671875,0.041742,83484,0.041742,553648256,536871040,nm3e891b103b051f823102,True,42.66495,3019.1718669999996,298.95337299999994,298.95337299999994,False,False
"linear,linear",262144,42643.41796875,0.6557310000000001,1311462,0.6557310000000001,35651712,33554560,nm40684976807c857bd756,True,42.16215,3018.669067,356.243481,356.243481,False,False
"linear,linear",4096,230692.359375,2.0112615,4022523,2.0112615,557184,524416,nm413f217956347de17d2c,True,29.23353,3005.7404469999997,369.179576,369.179576,False,False
"cubic,cubic",1048576,5871.10107421875,0.063153,126306,0.063153,276824320,268435712,nm41f5e721854881a5f50c,True,70.53189,3047.038807,334.9307,334.9307,False,False
"bradix,linear",16384,113132.9609375,1.2340419999999999,2468084,1.2340419999999999,2228416,2097344,nm421d482f384d3120ad4a,True,25.42837,3001.935287,356.640618,356.640618,True,True
"bradix,linear",4096,267710.28125,2.3015545,4603109,2.3015545,557248,524480,nm4300f5acccf11fc18cb3,True,25.08924,3001.5961569999995,373.242253,373.242253,True,True
"normal,linear",2097152,5150.89404296875,0.21405500000000002,428110,0.21405500000000002,285212864,268435648,nm433cb29a829e4a5a1caf,True,84.4046,3060.9115169999995,375.579859,375.579859,False,False
"normal,cubic",1048576,5609.4462890625,0.048736,97472,0.048736,276824256,268435648,nm44dad1a0909cfe7fce5e,True,83.52158,3060.028497,340.135166,340.135166,False,False
"loglinear,cubic",1024,1461517.0,2.3847324999999997,4769465,2.3847324999999997,270464,262272,nm45304ac3b150f28c0730,True,33.4373,3009.9442169999998,384.231357,384.231357,False,False
"linear,linear",131072,46882.3359375,0.6557315,1311463,0.6557315,17825920,16777344,nm4ba04214fe8ae1c6a0ef,True,38.10476,3014.611677,352.186091,352.186091,False,False
"normal,linear",16384,164056.0625,0.948332,1896664,0.948332,2228416,2097344,nm4f46fd23431dab351e86,True,37.54851,3014.055427,357.165888,357.165888,False,False
"radix,cubic",512,2336881.0,3.8830715000000002,7766143,3.8830715000000002,135296,131200,nm4f4a5201aec18e11f53c,True,22.57083,2999.077747,376.079548,376.079548,False,False
"radix,linear",256,6668574.0,10.7197105,21439421,10.7197105,34944,32896,nm4ffbe607ff92b105ae59,True,20.81636,2997.3232769999995,395.29302299999995,395.29302299999995,True,True
"bradix,cubic",131072,22327.494140625,0.1717365,343473,0.1717365,34603200,33554624,nm509591dbc21fb8c5d0c5,True,31.94815,3008.455067,319.460057,319.460057,False,True
"normal,cubic",4096,252949.296875,0.980764,1961528,0.980764,1081536,1048768,nm546a78ecebbe811a4acf,True,37.42157,3013.9284869999997,357.038948,357.038948,False,False
"normal,linear",262144,13328.861328125,0.1969545,393909,0.1969545,35651776,33554624,nm551dfb4ded2d5fe0b881,True,50.70195,3027.208867,341.10269300000004,341.10269300000004,False,False
"normal,cubic",8192,146967.25,0.42352149999999994,847043,0.42352149999999994,2162880,2097344,nm58ac5c58372de4d3998a,True,38.46181,3014.9687269999995,342.304081,342.304081,False,True
"cubic,cubic",262144,18345.96484375,0.0754845,150969,0.0754845,69206272,67109120,nm598fe285155688ff3e74,True,49.58498,3026.091897,315.068163,315.068163,False,True
"bradix,linear",1048576,6698.896484375,0.237345,474690,0.237345,142606528,134217920,nm5e632ccf43d62b07f33c,True,36.85773,3013.364647,328.204725,328.204725,True,True
"linear,cubic",32768,76615.1796875,1.2378385,2475677,1.2378385,8650880,8388736,nm5fbd0bfb20cd591ba71c,True,36.69439,3013.201307,367.90663800000004,367.90663800000004,False,False
"cubic,linear",2097152,4552.7607421875,0.080109,160218,0.080109,285212928,268435712,nm64b6dda5b888f4561122,True,68.82689,3045.3338069999995,337.099269,337.099269,False,False
"linear,cubic",2048,377686.125,1.837432,3674864,1.837432,540800,524416,nm6781b41ed4ac577eba29,True,31.84153,3008.348447,368.13012299999997,368.13012299999997,False,False
"loglinear,cubic",2097152,9894.515625,0.07076400000000001,141528,0.07076400000000001,553648256,536871040,nm67bc9577ce1f4170d855,True,71.5303,3048.0372169999996,337.013483,337.013483,False,False
"radix,cubic",4096,524288.0,1.2849655,2569931,1.2849655,1081472,1048704,nm681d07071b6732253210,True,23.08293,2999.5898469999997,354.295178,354.295178,False,True
"bradix,linear",32768,55305.2109375,0.4935005,987001,0.4935005,4456640,4194496,nm6acc538e5605bebbe1da,True,25.88131,3002.388227,331.404818,331.404818,True,True
"bradix,linear",2048,524288.0,1.6830310000000002,3366062,1.6830310000000002,278720,262336,nm6adf8853cb18b2f65691,True,24.13313,3000.640047,359.27094700000004,359.27094700000004,True,True
"radix,linear",4096,524288.0,1.6830310000000002,3366062,1.6830310000000002,557184,524416,nm6b560ae060605a3a8fff,True,19.67534,2996.1822569999995,354.81315700000005,354.81315700000005,True,True
"normal,linear",8192,163349.09375,0.4754845,950969,0.4754845,1114304,1048768,nm6c3913c9d2944959446d,True,36.85935,3013.366267,342.382858,342.382858,False,True
"normal,linear",1024,1368044.375,1.3537735,2707547,1.3537735,139456,131264,nm6ffc2e27a0473c0e5ece,True,35.14528,3011.652197,371.487461,371.487461,False,True
"cubic,linear",16384,100221.421875,0.5057670000000001,1011534,0.5057670000000001,2228480,2097408,nm716f02c1677fda4778b1,True,26.70071,3003.207627,332.224218,332.224218,False,True
"radix,linear",512,2915223.5,4.4062025,8812405,4.4062025,69760,65664,nm72e1610d85994918beb5,True,21.40281,2997.9097269999997,378.516016,378.516016,True,True
"cubic,linear",1048576,8810.08984375,0.1406955,281391,0.1406955,142606592,134217984,nm736bee190651c4a0cd4d,True,55.13232,3031.639237,337.39831799999996,337.39831799999996,False,False
"linear,cubic",512,1048576.0,3.1574820000000003,6314964,3.1574820000000003,135296,131200,nm736cb003bbac0f28be33,True,30.47628,3006.9831969999996,382.58926099999996,382.58926099999996,False,False
"linear,cubic",262144,35745.23828125,0.861954,1723908,0.861954,69206144,67108992,nm737f646a984a12da9dc6,True,50.99959,3027.5065069999996,368.980555,368.980555,False,False
"radix,cubic",1048576,8597.1376953125,0.041092000000000004,82184,0.041092000000000004,276824192,268435584,nm739adaf14e494cc74e67,True,35.75545,3012.262367,292.04387299999996,292.04387299999996,False,True
"bradix,cubic",32768,64985.45703125,0.340148,680296,0.340148,8650944,8388800,nm73f44711806851ed29c5,True,27.70588,3004.2127969999997,326.21401099999997,326.21401099999997,False,True
"bradix,linear",256,2915223.5,4.4062025,8812405,4.4062025,35008,32960,nm76fd457e75335b2b9303,True,22.86294,2999.3698569999997,379.97614599999997,379.97614599999997,True,True
"radix,linear",2097152,6698.896484375,0.237345,474690,0.237345,285212800,268435584,nm78725d4741096265f6ea,True,32.94132,3009.4482369999996,324.288315,324.288315,True,True
"bradix,linear",512,1167884.75,2.8121575,5624315,2.8121575,69824,65728,nm7922b75b29137ab268f3,True,23.77274,3000.2796569999996,373.194436,373.194436,True,True
"linear,linear",2097152,32256.57421875,0.6557295000000001,1311459,0.6557295000000001,285212800,268435584,nm797e3774e860f2e6f9cd,True,70.54281,3047.0497269999996,384.624141,384.624141,False,False
"normal,linear",512,4229354.0,4.4075515,8815103,4.4075515,69824,65728,nm7c11ae836b1d47ebfd7c,True,34.79118,3011.298097,391.904386,391.904386,False,False
"loglinear,cubic",1048576,12526.6572265625,0.0670525,134105,0.0670525,276824192,268435584,nm7d20f7f6ebfecda3b78d,True,61.5647,3038.0716169999996,325.96351000000004,325.96351000000004,False,False
"radix,cubic",131072,43393.2109375,0.3267465,653493,0.3267465,34603136,33554560,nm7edc3e64f629f2bb37a6,True,27.46681,3003.9737269999996,325.974941,325.974941,False,False
"cubic,cubic",512,1397505.75,3.380828,6761656,3.380828,135424,131328,nm83b52c4c8752ac8049af,True,27.25666,3003.7635769999997,379.369641,379.369641,False,False
"normal,linear",131072,23810.798828125,0.21642050000000002,432841,0.21642050000000002,17825984,16777408,nm83bfc9d4f86e3f5e6515,True,44.83604,3021.342957,336.011299,336.011299,False,True
"normal,cubic",1024,734111.625,0.9695815,1939163,0.9695815,270528,262336,nm858c70a022bf18f6e87a,True,36.51484,3013.0217569999995,356.13221799999997,356.13221799999997,False,True
"linear,linear",1048576,33301.69921875,0.6557295000000001,1311459,0.6557295000000001,142606464,134217856,nm88617ae97b015cd8d7c3,True,58.92527,3035.432187,373.006601,373.006601,False,False
